cluster,gene,score,pvals_adj,logfoldchanges
4,Fnbp1,70.71087,0.0,5.02606
4,Zfp536,70.04315,0.0,6.577541
4,Arhgap23,68.784584,0.0,6.1675806
4,Mobp,66.64521,0.0,8.869143
4,Enpp2,66.13829,0.0,6.8582964
4,Mag,65.23491,0.0,8.891985
4,Cdk19,64.68328,0.0,6.574476
4,Cdh20,64.03575,0.0,6.1780434
4,Dscaml1,63.834686,0.0,6.289257
4,Sec14l5,62.794277,0.0,8.858041
4,Aspa,61.595013,0.0,8.666446
4,Dnm3,60.82144,0.0,3.6658456
4,Agap1,60.48116,0.0,3.949391
4,Neat1,60.310867,0.0,6.9565454
4,Lrp1b,59.863903,0.0,2.9444082
4,Pak7,58.527454,0.0,4.5774918
4,Bcas1,58.51759,0.0,8.227083
4,Mog,58.348305,0.0,8.262901
4,Fa2h,57.982338,0.0,8.074109
4,Plekhg1,57.688698,0.0,6.6467223
4,Gpm6b,57.545288,0.0,4.9407325
4,Fgfr2,57.435596,0.0,3.624138
4,Ugt8a,57.106663,0.0,6.6385493
4,Klhl2,56.242916,0.0,4.866195
4,Gab1,55.55879,0.0,6.485248
4,Rtn4,55.048424,0.0,3.9176726
5,Tns1,87.726974,0.0,8.205583
5,Esrrg,87.62694,0.0,7.0682883
5,Caln1,84.3657,0.0,7.215568
5,Dlgap1,84.14939,0.0,5.7326446
5,Gfra1,83.261734,0.0,7.044672
5,March11,83.21431,0.0,6.4704933
5,Ldlrad4,80.22134,0.0,5.7719746
5,Shisa6,79.972145,0.0,6.695308
5,Sh3pxd2a,79.86785,0.0,6.223857
5,A830018L16Rik,79.40051,0.0,7.1005783
5,Prune2,79.13477,0.0,6.3992696
5,Lgr5,78.2713,0.0,6.7280436
5,Hcn1,78.04549,0.0,6.5245743
5,D430041D05Rik,77.821625,0.0,6.007871
5,Rps6ka3,75.9864,0.0,5.781002
5,Htr1f,75.73934,0.0,6.6647687
5,March3,75.67463,0.0,6.161987
5,Srrm4,75.646576,0.0,5.800697
5,Npas3,74.94669,0.0,6.3056955
5,Rgs6,73.890854,0.0,6.429518
5,Tmem108,73.71327,0.0,5.8274736
5,Htr2a,73.405304,0.0,6.582812
5,Kcnip1,73.01918,0.0,5.793509
5,Arnt2,73.00382,0.0,5.622749
5,Slc24a3,72.854095,0.0,6.1143923
5,Nlk,72.6217,0.0,5.2929378
5,Anxa4,72.554886,0.0,6.8320417
5,Pcbp3,72.44106,0.0,5.4087033
5,Otud7a,72.35881,0.0,5.0995445
5,Arhgap20,72.23613,0.0,5.4366
5,Rasgef1b,72.06442,0.0,5.7356114
5,Gria3,72.04825,0.0,6.2150865
5,Gm43122,72.01604,0.0,7.8673058
5,Chat,71.850914,0.0,6.0129523
5,Ppfia2,71.63082,0.0,5.2171645
